country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,0,,93,,,,,,,,,
Afghanistan,85,84,87,86,89,90,84,87,88,86,86,88,88,88,87,88,93,91,91,91,95
Angola,68,68,74,71,69,72,18,74,37,41,48,27,45,23,34,,27,25,50,69,53
Albania,,91,84,88,75,81,87,87,88,86,89,92,92,88,88,87,87,87,89,88,89
Andorra,50,100,100,100,80,89,80,100,100,88,86,100,100,60,83,100,75,100,100,60,100
UAE,74,62,79,64,71,77,92,75,70,69,72,69,76,75,91,85,88,88,80,81,77
Argentina,47,61,58,66,57,46,55,60,38,43,45,49,56,51,52,47,54,57,54,47,46
Armenia,87,90,79,77,75,77,75,77,78,79,82,78,81,81,78,79,81,79,81,82,81
American Samoa,100,100,100,100,83,75,,100,100,100,100,,,,,,100,80,100,100,
Antigua and Barbuda,100,100,100,,100,50,,50,100,67,33,17,50,67,,50,,100,100,,
Australia,72,70,78,80,91,85,85,85,81,80,82,78,82,85,79,73,78,82,79,86,90
Austria,73,64,78,68,70,71,71,,70,70,75,72,69,72,74,73,75,69,73,74,70
Azerbaijan,90,77,83,70,66,59,60,58,56,66,73,78,83,82,83,83,84,84,84,84,82
Burundi,80,80,79,79,73,71,78,80,82,86,88,89,89,91,91,92,92,93,94,94,95
Belgium,66,64,69,73,60,58,61,68,45,78,78,80,77,79,81,79,82,79,82,81,67
Benin,78,79,80,81,83,87,86,86,87,88,90,89,90,89,89,88,88,87,87,89,90
Burkina Faso,60,65,64,66,67,71,72,73,76,77,78,77,80,80,81,78,80,80,80,81,82
Bangladesh,81,83,84,85,90,90,91,90,91,91,91,91,92,93,93,93,94,94,94,95,95
Bulgaria,,87,84,91,85,88,85,82,85,87,87,86,87,85,86,84,85,84,86,82,
Bahrain,73,87,88,97,93,94,97,52,66,99,96,61,44,,,,68,,47,17,
Bahamas,,64,59,62,62,52,74,64,70,76,69,65,84,76,84,82,66,71,72,75,68
Bosnia and Herzegovina,94,98,95,94,98,97,97,97,92,96,98,72,84,82,77,65,56,45,28,32,51
Belarus,,,,73,74,93,80,82,80,77,78,71,85,87,88,89,89,89,88,89,85
Belize,78,66,85,89,52,70,,46,83,,0,,55,36,35,67,62,71,67,66,82
Bermuda,,,,,,,,,,0,0,0,100,,,,50,100,100,50,100
Bolivia,79,82,84,81,74,75,75,80,81,85,85,82,84,85,83,84,87,83,81,83,80
Brazil,71,55,80,77,72,72,69,72,69,70,72,73,72,72,71,71,72,71,71,69,67
Barbados,,,,100,,93,100,100,100,100,100,,100,100,100,,100,,,,50
Brunei,63,56,84,60,72,71,83,77,84,62,78,66,71,73,65,74,72,75,77,75,72
Bhutan,90,93,86,90,82,82,86,91,91,92,91,91,92,91,90,92,95,93,95,94,94
Botswana,77,78,71,77,65,70,72,64,58,76,78,76,76,73,77,79,79,78,82,72,78
Central African Republic,58,54,,59,88,68,,67,71,47,59,59,68,70,70,78,78,78,79,81,79
Canada,35,42,36,45,61,70,60,67,79,77,78,66,79,82,82,84,78,80,78,79,
Switzerland,,,,,,,,,,,,,,,,,68,78,82,68,74
Chile,82,83,86,85,83,83,85,85,72,72,71,71,44,47,58,62,79,78,73,74,77
China,93,95,92,93,92,92,92,93,93,94,95,95,95,95,94,94,93,93,94,94,95
Cote d'Ivoire,57,72,65,72,69,74,73,71,75,77,75,76,79,80,79,80,82,83,84,84,84
Cameroon,77,62,71,,71,74,74,74,75,77,78,79,79,82,84,84,84,84,84,86,86
"Congo, Dem. Rep.",78,77,78,83,85,85,60,86,86,88,89,87,88,87,89,89,89,90,93,92,94
"Congo, Rep.",69,66,71,69,63,28,53,,76,78,77,71,70,,69,71,77,66,62,72,75
Colombia,80,71,73,80,80,71,71,77,56,75,74,73,72,71,76,75,61,73,74,75,71
Comoros,93,92,96,,94,94,,94,89,,90,25,87,94,,91,89,94,,,92
Cape Verde,64,42,53,72,71,64,79,,75,,,64,86,88,92,89,87,91,90,89,91
Costa Rica,57,64,79,91,,90,86,86,89,57,88,88,86,88,89,85,84,92,88,,84
Cuba,93,93,92,93,92,90,90,91,88,90,90,88,85,84,82,83,84,82,82,82,79
Cayman Islands,40,100,,,,0,,,,50,25,100,83,80,,100,100,100,,100,
Cyprus,,92,75,79,37,64,74,,50,23,26,64,43,50,59,56,66,67,59,28,44
Czech Republic,70,73,73,79,73,74,72,73,70,70,73,70,75,69,76,69,69,69,67,74,69
Germany,77,67,69,71,71,73,44,77,78,76,76,73,74,67,63,65,70,71,71,69,74
Djibouti,62,,82,73,78,80,80,81,84,79,80,82,31,75,81,85,86,85,84,82,85
Dominica,,100,,,,,50,67,100,100,100,100,100,100,100,88,100,100,100,,
Denmark,86,88,77,84,86,85,71,79,78,74,74,62,64,59,52,50,38,39,16,45,34
Dominican Republic,70,78,77,80,79,84,78,78,46,62,80,83,82,83,83,80,75,74,76,80,84
Algeria,87,84,89,90,91,87,91,90,90,91,89,92,90,91,88,90,,91,85,86,89
Ecuador,,71,84,84,84,82,57,73,75,73,76,73,75,75,77,77,72,74,,80,70
Egypt,87,82,88,80,70,79,87,90,91,91,89,88,88,86,84,85,87,86,86,87,89
Eritrea,76,80,82,85,85,88,90,88,84,86,86,76,87,89,91,90,91,92,93,93,91
Spain,,,,,,,,,,,69,72,71,75,58,,69,61,45,47,53
Estonia,70,64,67,70,76,77,71,66,64,64,66,64,74,87,84,83,80,80,83,76,75
