country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,87,87,87,87,87,,87,87,87,87,87,87
Afghanistan,19,27,35,32,41,47,53,59,57,50,53,51,50,51,51,56,64,69,70,74,62,66
Angola,33,42,53,60,54,52,66,52,54,48,50,51,54,60,53,58,56,50,60,65,57,55
Albania,86,86,87,88,88,89,89,89,88,88,88,88,88,87,87,87,87,87,87,87,54,56
Andorra,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
UAE,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Argentina,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,73,87
Armenia,78,78,78,78,78,78,78,78,78,78,78,79,79,80,81,81,82,83,83,84,55,52
American Samoa,86,87,88,89,90,90,90,90,89,89,89,89,,,,94,,98,,100,160,
Antigua and Barbuda,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,,87,87,87,,87,87
Australia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Austria,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,87
Azerbaijan,79,79,79,79,79,79,79,79,78,78,78,78,78,78,78,78,78,78,78,79,62,57
Burundi,35,37,38,43,46,46,44,47,51,55,58,52,53,57,55,53,59,61,57,53,56,54
Belgium,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Benin,45,44,48,50,53,55,60,60,63,61,58,64,60,59,60,61,59,53,59,63,57,54
Burkina Faso,28,29,28,30,33,39,43,43,46,51,51,56,55,56,57,58,58,57,61,50,58,69
Bangladesh,26,26,28,29,32,40,46,46,47,50,47,46,50,54,55,59,63,68,74,80,62,82
Bulgaria,79,79,79,79,79,79,79,79,78,78,78,78,78,78,79,79,79,79,79,89,68,57
Bahrain,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,,87,87,87,87,87,87
Bahamas,87,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bosnia and Herzegovina,72,72,72,72,73,74,74,75,76,77,78,78,78,78,78,78,78,78,78,64,42,45
Belarus,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,56,51
Belize,89,89,89,89,88,88,88,88,87,87,87,87,87,87,87,87,87,87,87,87,74,63
Bermuda,,,,,87,,87,,,,87,87,87,,,,87,87,87,87,87,87
Bolivia,64,67,66,65,65,66,62,59,64,63,61,63,62,63,62,60,60,60,60,60,49,53
Brazil,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,89,78,76
Barbados,87,87,87,,87,,87,87,87,87,87,,87,87,87,,87,,87,,87,87
Brunei,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bhutan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,72,67
Botswana,59,61,66,66,71,73,65,63,74,73,65,64,71,75,69,61,71,73,69,49,42,39
Central African Republic,,12,23,18,18,14,26,,28,35,26,22,31,33,39,40,39,36,40,43,44,45
Canada,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,
Switzerland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Chile,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
China,33,36,36,49,66,76,82,87,89,89,89,89,89,89,88,88,88,88,92,88,77,75
Cote d'Ivoire,24,28,28,31,38,39,43,50,53,53,55,56,61,65,62,60,58,57,58,59,56,59
